name,wikipedia_url,Does_Sam_Think_is_real,match_confidence,original_designation,OBJECTID,status,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Austin D. Gay,https://en.wikipedia.org/wiki/Jane_Castor,no,55,,,Found,TRUE,seq=5.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Jane Castor is an American politician and former law enforcement officer born on October 11, 1959. She served as the first female Chief of Police for the Tampa Police Department from 2009 to 2015, earning recognition for her leadership in reducing crime. In 2019, she became the 59th Mayor of Tampa, Florida, focusing on progressive policies like climate change initiatives and COVID-19 response strategies. Castor is notable for her trailblazing career in public service and her impact on Tampa’s urban development and community safety efforts.","['Tampa Catholic High School', ""Bachelor's degree in Criminology, University of Tampa"", ""Master's degree in Criminology, University of South Florida""]",1959-10-11,,"Tampa, Florida, United States",not found,female,no,yes,no,no
Francis Gibbs,https://en.wikipedia.org/wiki/Cord_Byrd,no,55,,,Found,TRUE,seq=5.5; last-mismatch:-4; human:+40; fl:+10; us:+5,"Cord Byrd is an American politician and military veteran currently serving as Florida's Secretary of State since 2022. Born in the United States, he pursued higher education before joining the U.S. Navy, where he served as a lieutenant commander. Byrd later transitioned into politics, working in various roles within Florida's government, including as a deputy chief of staff. His career highlights include overseeing elections and business regulations in one of the nation's most politically significant states.","['United States Naval Academy, Bachelor of Science', 'University of Florida, Master of Business Administration']",,,not found,not found,male,no,yes,yes,no
Danny A. Pino,https://en.wikipedia.org/wiki/Danny_Pino,no,55,,,Found,TRUE,seq=17.4; human:+40; fl-miss:-10; us:+5,"Danny Pino is an American actor born on April 15, 1974, best known for his roles in television dramas. He gained prominence as Detective Scotty Valens in Cold Case (2003–2010) and later starred as Nick Amaro in Law & Order: Special Victims Unit (2011–2015). Pino has also appeared in films like The Lost City (2005) and Men of Honor (2000), showcasing his versatility across genres. His work has earned him nominations for awards like the ALMA and Imagen Awards, solidifying his place in modern television history.","['University of Miami, Coral Gables, Florida', 'Bachelor of Fine Arts in Acting', 'New York University, Tisch School of the Arts', 'Master of Fine Arts in Acting']",1974-04-15,,"Miami, Florida, United States of America",not found,male,no,no,no,no
C. Wayne Ansley,https://en.wikipedia.org/wiki/Jim_DeBerry,no,55,,,Found,TRUE,seq=3.1; last-mismatch:-4; human:+40; fl:+10; us:+5,"Jim DeBerry is an American entrepreneur and entertainer known for his contributions to the swimming pool and solar industries. He gained recognition through his radio career and performance characters, including musical ventures. DeBerry's work spans business innovation and entertainment, though specific birth or death dates are not publicly documented. His diverse career highlights his versatility across multiple professional domains, from industry leadership to creative arts.",,,,not found,not found,male,no,no,no,yes
S. Chesterfield Smith,https://en.wikipedia.org/wiki/Chesterfield_Smith,no,55,,,Found,TRUE,seq=18.5; human:+40; fl-miss:-10; us:+5,"Chesterfield Smith was an American attorney born on September 17, 1917, and passed away on August 26, 2003. He co-founded the law firm Holland & Knight and served as the President of the American Bar Association (ABA) from 1973 to 1974. Known for his leadership in the legal profession, he played a key role in advocating for legal ethics and pro bono work. The ABA established the Chesterfield Smith Award in his honor to recognize outstanding law firm pro bono programs.","['University of Florida, Bachelor of Arts (BA)', 'University of Florida Levin College of Law, Juris Doctor (JD)']",1917-09-17,2003-08-26,"Tampa, Florida, United States","Gainesville, Florida, United States",male,no,no,yes,no
Charlie Miner,https://en.wikipedia.org/wiki/Brad_Scott_%28American_football%29,no,55,,,Found,TRUE,seq=1.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Brad Scott is an American football coach best known for his tenure as head coach at South Carolina from 1994 to 1998. He previously served as an assistant coach at Florida State under Bobby Bowden, contributing to the team's 1993 national championship. Born in the mid-20th century, Scott transitioned into coaching after his playing career, focusing primarily on collegiate football. His coaching record includes both successes and challenges, with a notable emphasis on defensive strategies and player development.",,,,not found,not found,male,yes,no,no,no
Ben Rowe,https://en.wikipedia.org/wiki/Sean_Rowe_%28musician%29,no,55,,,Found,TRUE,seq=16.5; human:+40; fl-miss:-10; us:+5,"Sean Rowe is an American singer-songwriter known for his deep, resonant voice and folk-blues musical style. Born in 1977, he gained recognition for his soulful performances and introspective lyrics, often drawing comparisons to artists like Leonard Cohen and Tom Waits. Rowe began his career as the frontman of the band Mudfunk before transitioning to a successful solo career, releasing critically acclaimed albums such as Magic (2011) and New Lore (2017). His music blends elements of folk, blues, and Americana, earning him a dedicated following and praise for his raw, emotive storytelling.",,1977-01-01,,not found,not found,male,no,no,no,yes
C. D. Kinsey,https://en.wikipedia.org/wiki/Frederica_Wilson,no,55,,,Found,TRUE,seq=5.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Frederica Wilson is an American politician born November 5, 1942, who has served as the U.S. Representative for Florida's 24th congressional district since 2011. A member of the Democratic Party, she previously served in the Florida House of Representatives and Florida Senate from 1999 to 2010. Known for her advocacy in education and social justice, Wilson founded the 5000 Role Models of Excellence Project to mentor young men of color. She remains an active figure in national politics, focusing on issues like education reform, healthcare, and economic equity.","['Fisk University, Bachelor of Science', 'University of Miami, Master of Science in Elementary Education', 'Miami-Dade County Public Schools, Principal Certification']",1942-11-05,,"Miami, Florida, United States",not found,female,no,yes,no,no
Ronald W. Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan,no,55,,,Found,TRUE,seq=17.9; human:+40; fl-miss:-10; us:+5,"Ronald Reagan was born on February 6, 1911, in Tampico, Illinois, USA, and passed away on June 5, 2004. He began his career as a Hollywood actor and later became a prominent political figure, serving as the 33rd Governor of California from 1967 to 1975. Reagan was elected the 40th President of the United States in 1981, serving two terms until 1989, where he played a pivotal role in ending the Cold War. Known for his conservative policies and communication skills, he remains a significant figure in modern American history and the Republican Party.","['Eureka College, Bachelor of Arts in Economics and Sociology']",1911-02-06,2004-06-05,"Tampico, Illinois, United States","Los Angeles, California, United States",male,yes,yes,yes,no
Willie F. Faust,https://en.wikipedia.org/wiki/Jacory_Patterson,no,55,,,Found,TRUE,seq=2.6; last-mismatch:-4; human:+40; fl:+10; us:+5,"Jacory Patterson is an American track and field athlete specializing in sprinting events. He gained recognition during his collegiate career at Virginia Tech, where he competed in indoor and outdoor seasons from 2019 to 2021. Patterson achieved notable performances in the 60-meter and 100-meter dashes, contributing to his team's success in NCAA competitions. His athletic career highlights his dedication to sprinting and his role in collegiate sports.","[""Virginia Tech, Bachelor's (presumed, exact degree not specified)""]",,,not found,not found,male,yes,no,no,no
United States Army Sergeant Karl A. Campbell,https://en.wikipedia.org/wiki/Andrew_Jackson,no,55,,,Found,TRUE,seq=2.8; last-mismatch:-4; human:+40; fl:+10; us:+5,"Andrew Jackson was born on March 15, 1767, in the Waxhaws region along the border of North and South Carolina. He became a prominent lawyer, military leader, and politician, rising to fame as a general during the War of 1812, particularly for his victory at the Battle of New Orleans. Jackson served as the 7th President of the United States from 1829 to 1837, known for his populist policies and controversial actions like the Indian Removal Act. He died on June 8, 1845, leaving a complex legacy as a champion of democracy and a polarizing figure in American history.",,1767-03-15,1845-06-08,"Waxhaws, North Carolina/South Carolina, United States","Nashville, Tennessee, United States",male,no,yes,yes,no
Trooper Charles W. Parks,https://en.wikipedia.org/wiki/Gene_Chizik,no,55,,536,Found,TRUE,seq=5.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Gene Chizik is an American former college football coach born on December 28, 1961. He is best known for leading the Auburn Tigers to a national championship in 2010, earning him the AP Coach of the Year award. Chizik’s coaching career spanned over three decades, including head coaching roles at Iowa State and Auburn, as well as assistant positions at multiple universities. After retiring from coaching, he transitioned into a media career as a college football analyst for ESPN and the SEC Network.","[""University of Florida, Bachelor's degree in Physical Education"", ""University of Central Florida, Master's degree in Educational Leadership""]",1961-12-28,,"Florence, Alabama, United States",not found,male,yes,no,no,no
Frank Thomas McMeekin,https://en.wikipedia.org/wiki/Ed_Begley_Jr.,no,55,,,Found,TRUE,seq=1.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Ed Begley Jr. is an American actor and environmental activist born on September 16, 1949, in Los Angeles, California. Known for his roles in films like This Is Spinal Tap (1984) and TV series such as St. Elsewhere (1982–1988), he has built a career spanning over five decades. Beyond acting, Begley is a prominent advocate for sustainability, authoring books and hosting eco-friendly shows like Living with Ed. His activism and long-standing Hollywood presence have cemented his legacy as both an entertainer and environmental leader.","['Van Nuys High School', 'Los Angeles Valley College']",1949-09-16,,"Los Angeles, California, United States",not found,male,no,yes,no,no
Claude Varn,https://en.wikipedia.org/wiki/G._Harrold_Carswell,no,55,,,Found,TRUE,seq=4.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"G. Harrold Carswell was born on December 22, 1919, and died on November 19, 1992. He was an American lawyer and jurist who served as a United States Circuit Judge of the United States Court of Appeals for the Fifth Circuit from 1958 to 1969. Carswell is best known for his unsuccessful 1970 nomination to the United States Supreme Court by President Richard Nixon, which was rejected by the U.S. Senate. His later career included a failed U.S. Senate campaign in Florida and private law practice until his death in 1992.","['Wake Forest University, Bachelor of Arts (1941)', 'Mercer University, Bachelor of Laws (1948)']",1919-12-22,1992-11-19,"Irwinton, Georgia, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
