name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
George W. Harris,"George W. Harris, Jr. Boulevard",Polk,https://en.wikipedia.org/wiki/Treon_Harris,Found,23.9,true,seq=12.9; fl:+10; county-miss:-8; us:+5,"Treon Harris is a former American football quarterback who played collegiately for the University of Florida and Tennessee State University. Born in 1994, he gained recognition as a dual-threat quarterback, notably leading Florida to a SEC East Division title in 2015. Harris began his career at Florida before transferring to Tennessee State, where he continued to showcase his athletic and passing abilities. His contributions on the field marked him as a notable figure in college football during his active years.","['University of Florida, no degree specified', 'Tennessee State University, no degree specified']",1994-01-01,,"Miami, Florida, United States",not found,male,yes,no,no,no
Heather Hurd,Heather Hurd Memorial Highway,Polk,https://en.wikipedia.org/wiki/Debbie_Wasserman_Schultz,Found,48.8,true,seq=7.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Debbie Wasserman Schultz is an American politician born on September 27, 1966, in Forest Hills, New York. She has served as a U.S. Representative for Florida's 23rd congressional district since 2005 and previously chaired the Democratic National Committee (DNC) from 2011 to 2016. A member of the Democratic Party, she began her political career in the Florida House of Representatives (1993–2000) and later the Florida Senate (2001–2004). Wasserman Schultz is known for her advocacy on issues like women's health, gun control, and environmental protection, making her a prominent figure in modern American politics.","['University of Florida, BA (Political Science)', 'University of Florida, MA (Political Science)']",1966-09-27,,"Forest Hills, New York, United States",not found,female,no,yes,no,no
John L. Robinson,John L. Robinson Highway,Polk,https://en.wikipedia.org/wiki/Tony_Robinson_%28American_football%29,Found,21.2,true,seq=15.2; fl:+10; county-miss:-8,"Tony Robinson was an American football player known for his college career as a wide receiver at the University of Tennessee. Born in 1964, he set multiple school records during his tenure, including single-season receiving yards and career receptions by the end of the 1980s. Though he did not pursue a professional NFL career, his collegiate achievements earned him recognition in Tennessee Volunteers football history. His contributions remain notable in the context of SEC (Southeastern Conference) football during the mid-1980s.","['University of Tennessee, Knoxville', ""Bachelor's degree (assumed, not explicitly stated)""]",1964-01-01,,not found,not found,male,yes,no,no,no
L. H. Recker,L. H. Recker Highway,Polk,https://en.wikipedia.org/wiki/William_T._Blackstone,Found,43.3,true,seq=7.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"William T. Blackstone was an American writer and philosopher born in 1841. He is best known for his 1903 book Jesus is Coming, which popularized premillennial dispensationalism and influenced Christian eschatology. Blackstone worked as a real estate businessman before dedicating himself to religious writing and evangelism. His ideas significantly shaped fundamentalist Christian thought in the early 20th century.",,1841-10-06,1935-11-07,"Adams, New York, United States","Oak Park, Illinois, United States",male,no,no,no,no
Lisle W. Smith,Lisle W. Smith Highway,Polk,https://en.wikipedia.org/wiki/Marco_Rubio_2016_presidential_campaign,Found,7.0,true,seq=1.5; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"Marco Rubio is an American politician born on May 28, 1971, in Miami, Florida. He served as a U.S. Senator from Florida starting in 2011 and gained national prominence as a Republican candidate in the 2016 U.S. presidential election. Known for his conservative stance on issues like immigration and foreign policy, Rubio was a key figure in the Tea Party movement. His campaign for the 2016 presidency ultimately ended after losing the Florida primary to Donald Trump, though he remains an influential voice in the Republican Party.","['University of Florida, B.A. in Political Science (1993)', 'University of Miami School of Law, Juris Doctor (1996)']",1971-05-28,,"Miami, Florida, United States",not found,male,no,yes,no,no
Milton D. Wilson,Milton D. Wilson Highway,Polk,https://en.wikipedia.org/wiki/Dun_%26_Bradstreet,Found,7.0,true,seq=5.0; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"Dun & Bradstreet (D&B) is a global provider of business decisioning data and analytics, founded in 1841 through the merger of two credit reporting agencies. The company pioneered commercial credit reporting and introduced the Data Universal Numbering System (D-U-N-S), a unique identifier for businesses worldwide. Known for its financial risk assessment tools, D&B serves industries like banking, government, and supply chain management. It remains a key player in business intelligence, helping organizations evaluate creditworthiness and mitigate risks.",,,,not found,not found,not found,no,no,no,no
W.S. Badcock,W.S. Badcock Boulevard,Polk,https://en.wikipedia.org/wiki/Ted_Badcock,Found,39.9,true,seq=13.9; human:+40; fl-miss:-10; county-miss:-8,"Ted Badcock (1876–1952) was an Australian cricketer who played as a right-handed batsman and occasional wicketkeeper. Born in Victoria, he represented Australia in three Test matches between 1902 and 1905, primarily known for his domestic performances with Victoria. Badcock was a key player in Victorian cricket during the early 20th century, contributing significantly to the Sheffield Shield. He passed away in 1952, leaving a legacy as a respected figure in Australian cricket history.",,1876-01-01,1952-01-01,"Victoria, Australia",not found,male,yes,no,no,no
William P. Langdon,William P. Langdon Highway,Polk,https://en.wikipedia.org/wiki/William_Lowndes_%28congressman%29,Found,17.3,true,seq=13.3; last-mismatch:-4; fl:+10; county-miss:-8,"William Lowndes was an American politician born on February 11, 1782, in Charleston, South Carolina. He served as a member of the U.S. House of Representatives from South Carolina from 1805 to 1822, where he became known for his advocacy of financial reforms and opposition to the War of 1812. Lowndes was a prominent figure in the Democratic-Republican Party and later ran for vice president in the 1821 election but lost to John C. Calhoun. He died on October 27, 1822, in Charleston, South Carolina, leaving a legacy as a key early 19th-century political leader.","['College of New Jersey (now Princeton University), BA, 1800', 'Studied law under Charles Cotesworth Pinckney']",1782-02-11,1822-10-27,"Charleston, South Carolina, United States","Charleston, South Carolina, United States",male,no,yes,no,no
William R. Van Fleet,William R. Van Fleet Highway,Polk,https://en.wikipedia.org/wiki/Bartow%2C_Florida,Found,23.0,true,seq=4.6; last-mismatch:-4; fl:+10; county:+8; us:+5,"Bartow is a city in Polk County, Florida, United States, known as the county seat. Founded in 1851, it was named after Francis S. Bartow, a Confederate colonel during the American Civil War. The city is recognized for its historic architecture, citrus industry, and role in Florida's phosphate mining history. Bartow serves as a cultural and governmental hub for central Florida with a population of around 19,000 as of recent estimates.",,,,not found,not found,not found,no,no,no,no
George Kumpe,Colonel George Kumpe Bridge,Sarasota,https://en.wikipedia.org/wiki/Rush_B._Lincoln_Jr.,Found,27.0,true,seq=2.6; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Rush B. Lincoln Jr. was born in 1915 into a prominent American family with deep historical roots. He served as a career officer in the United States Army, notably during World War II, where he earned multiple decorations including the Bronze Star and Legion of Merit. After his military career, he transitioned to civilian leadership as the General Manager of the Massachusetts Bay Transportation Authority (MBTA) from 1967 to 1972, overseeing significant transit developments. Lincoln passed away in 1991, leaving behind a legacy of public service in both military and transportation sectors.",,1915-01-01,1991-01-01,not found,not found,male,no,no,yes,no
Gil Waters,Gil Waters Bridge,Sarasota,https://en.wikipedia.org/wiki/Annie_%28musical%29,Found,18.0,true,seq=5.3; last-mismatch:-4; fl:+10; county:+8,"The provided content describes Annie, a popular Broadway musical based on the comic strip Little Orphan Annie, not a biographical subject. Premiering in 1977, it became a cultural phenomenon with iconic songs like Tomorrow and won seven Tony Awards, including Best Musical. The story follows an optimistic orphan girl in 1930s New York during the Great Depression, blending humor, drama, and political satire. No individual person is profiled in this content, as it focuses on a fictional theatrical production.",,,,not found,not found,not found,no,no,no,yes
Trooper Claude Baker,Trooper Claude Baker Memorial Highway,Sarasota,https://en.wikipedia.org/wiki/Bill_Clinton,Found,42.0,true,seq=3.8; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,"William Jefferson Clinton (Bill Clinton) was born on August 19, 1946, in Hope, Arkansas, USA. He served as the 42nd President of the United States from 1993 to 2001, overseeing a period of economic prosperity and signing key legislation like NAFTA and welfare reform. Before his presidency, he was Governor of Arkansas and Attorney General of Arkansas, establishing a long political career. Clinton remains a prominent figure in American politics and global humanitarian efforts post-presidency, known for his charisma and policy influence.","['Georgetown University, Bachelor of Science in Foreign Service (BSFS)', 'University of Oxford, Attended as a Rhodes Scholar (no degree)', 'Yale Law School, Juris Doctor (JD)']",1946-08-19,,"Hope, Arkansas, United States of America",not found,male,yes,yes,no,yes
Reverend Kenneth C. Crossman,Reverend Kenneth C. Crossman Bridge,Orange,https://en.wikipedia.org/wiki/Moon_Landrieu,Found,42.0,true,seq=2.9; last-mismatch:-4; human:+40; rel:+15; fl-miss:-10; county-miss:-8; us:+5,"Maurice Edwin 'Moon' Landrieu was born on July 23, 1930, in New Orleans, Louisiana, and passed away on September 5, 2022. He was a prominent American politician who served as the mayor of New Orleans from 1970 to 1978, becoming the city's first white mayor elected with significant Black voter support. Landrieu played a key role in advancing civil rights, desegregating public facilities, and modernizing city government during his tenure. His political legacy extended beyond his mayoralty, influencing Louisiana's political landscape and paving the way for his daughter, Mary Landrieu, to become a U.S. Senator.","['Loyola University New Orleans', 'Juris Doctor (J.D.), Loyola University New Orleans College of Law']",1930-07-23,2022-09-05,"New Orleans, Louisiana, United States","New Orleans, Louisiana, United States",male,no,yes,yes,no
